CID,SMILES,pred_lum,pred_PLQY
59645933,[C-]#[N+]c1c(F)c[c-]c(-c2cccc(C(C)(C)c3cccc(C(C)(C)c4ccc(F)cc4F)n3)n2)c1F,535,74.2
161239994,Cc1cccc(C)c1-c1cc(-c2[c-]cc(F)cc2)nc(C(C)(C)c2cc(-c3c(C)cccc3C)cc(-c3ccc(F)cc3F)n2)c1,532,74.1
169264692,NC[C@@](O)(c1ccccc1)c1cc(C(=O)O)c(F)c(-c2[c-]c(Cl)c(F)cc2F)n1,543,74.0
155483797,C[C@@H](N=C(O)c1cc(-c2[c-]cc(F)cc2F)nc(C(O)C(F)(F)F)c1)c1ccc(C(F)(F)F)nc1,544,74.0
170368318,COc1c(C(C)(C)O)cc([C@@](O)(CN)C2CC2)nc1-c1[c-]c(Cl)c(F)cc1F,554,74.0
169675479,CC1(C)COc2c1cc([C@@](O)(CN)C(F)(F)F)nc2-c1[c-]c(F)c(F)cc1F,551,73.9
59645763,CC(C)(c1cccc(C(=O)NC(F)(F)F)n1)c1cccc(-c2[c-]cc(F)cc2F)n1,542,73.9
168089880,C[C@]1(C(=N)O)COc2c1cc([C@@](O)(CN)C(F)(F)F)nc2-c1[c-]c(Cl)c(F)cc1F,547,73.9
164805166,CC(C)(c1cccc(-c2[c-]cc(F)cc2F)n1)c1ccc2c(n1)c1ccccc1c1nc3ccccc3n21,609,73.9
162425230,Cc1cc(-c2[c-]cc(F)cc2F)ncc1CCc1cc(CCc2cnc(-c3ccc(F)cc3F)cc2C)cc(-c2ccccc2-c2cnc(-c3ccc4c(c3)C3C=CC5C(C=C3)C45)cc2-c2ccc(-c3ccccc3)cc2)c1,558,73.7
169233890,C[C@]1(C(=N)O)COc2c1cc([C@@](O)(CN)c1cccc(C(F)(F)F)c1)nc2-c1[c-]c(Cl)c(F)cc1F,549,73.7
59342291,CC(C)(c1cccc(-c2[c-]cc(F)c(F)c2F)n1)c1cccc(-c2cc(F)c(F)c(F)c2F)n1,559,73.7
163926589,[2H]C([2H])([2H])c1cc(-c2[c-]cc(F)cc2F)ncc1CCc1cc(CCc2cnc(-c3ccc(F)cc3F)cc2C)cc(-c2ccccc2-c2cnc(-c3ccc4c(c3)C3C=CC5C(C=C3)C45)cc2-c2ccc(-c3ccccc3)cc2)c1,560,73.6
134581005,O=S(=O)(NN=C(O)c1c(F)c[c-]c(-c2ccccn2)c1F)c1ccccc1,518,73.6
141700576,CS(=O)(=O)c1c(C2CC3CCC(C2)N3)nc2c(-c3ccc(-c4[c-]cc(F)cc4F)nc3)cnn2c1N,530,73.6
140803170,CN1C=CN(c2cccc(-c3cc(-c4[c-]cc(F)cc4F)nc(C(C)(C)c4cccc(-c5ccc(F)cc5F)n4)c3)c2)C1,546,73.5
170403837,Cn1ccc([C@](O)(CN)c2cc3c(c(-c4[c-]c(Cl)c(F)cc4F)n2)OC[C@]3(C)C(=N)O)n1,557,73.5
