L1,L2,L3,Counterion,Abbreviation_in_the_article,Charge,Max_wavelength(nm),PLQY,tau(s*10^-6),Solvent,DOI,Notes,PLQY_in_train
CC(C)CCn1c(-c2[c-]cccc2)nc2cc3ccccc3cc21,CC(C)CCn1c(-c2[c-]cccc2)nc2cc3ccccc3cc21,c1cnc2c(c1)ccc1cccnc12,F[P-](F)(F)(F)(F)F,3,1,563,0.1,1.16,CH2Cl2,10.1016/j.dyepig.2022.110939,,1
COc1cc[c-]c(-c2cc(C(F)(F)F)ccn2)c1,COc1cc[c-]c(-c2cc(C(F)(F)F)ccn2)c1,CC(=O)/C=C(/C)[O-],,Ir1a,0,634,0.38,0.17,CH2Cl2,10.1021/acs.inorgchem.2c03597,,1
COc1cc[c-]c(-c2cc(C(F)(F)F)ccn2)c1,COc1[c-]c(-c2cc(C(F)(F)F)ccn2)ccc1,CC(=O)/C=C(/C)[O-],,Ir1b,0,609,0.3,0.16,CH2Cl2,10.1021/acs.inorgchem.2c03597,,1
COc1[c-]c(-c2cc(C(F)(F)F)ccn2)ccc1,COc1[c-]c(-c2cc(C(F)(F)F)ccn2)ccc1,CC(=O)/C=C(/C)[O-],,Ir1c,0,580,0.27,0.2,CH2Cl2,10.1021/acs.inorgchem.2c03597,,1
COc1cc[c-]c(-c2ccc(C(F)(F)F)cn2)c1,COc1cc[c-]c(-c2ccc(C(F)(F)F)cn2)c1,CC(=O)/C=C(/C)[O-],,Ir2a,0,622,0.3,0.3,CH2Cl2,10.1021/acs.inorgchem.2c03597,,1
COc1cc[c-]c(-c2ccc(C(F)(F)F)cn2)c1,COc1[c-]c(-c2ccc(C(F)(F)F)cn2)ccc1,CC(=O)/C=C(/C)[O-],,Ir2b,0,598,0.21,0.21,CH2Cl2,10.1021/acs.inorgchem.2c03597,,1
COc1[c-]c(-c2ccc(C(F)(F)F)cn2)ccc1,COc1[c-]c(-c2ccc(C(F)(F)F)cn2)ccc1,CC(=O)/C=C(/C)[O-],,Ir2c,0,567,0.15,0.15,CH2Cl2,10.1021/acs.inorgchem.2c03597,,1
[c-]1ccc2ccc3cccc4c5nc6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)c(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)cc6nc5c1c2c34,[c-]1ccc2ccc3cccc4c5nc6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)c(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)cc6nc5c1c2c34,CC(=O)/C=C(/C)[O-],,TPAIr,0,774,0.15,0.41,CH2Cl2,10.1016/j.cej.2022.138956,,1
CCCCCCc1ccc(-c2cc3nc4c5[c-]ccc6ccc7cccc(c4nc3cc2-c2ccc(CCCCCC)s2)c7c65)s1,CCCCCCc1ccc(-c2cc3nc4c5[c-]ccc6ccc7cccc(c4nc3cc2-c2ccc(CCCCCC)s2)c7c65)s1,CC(=O)/C=C(/C)[O-],,HTIr,0,788,0.09,0.37,CH2Cl2,10.1016/j.cej.2022.138956,,1
[c-]1ccc2ccc3cccc4c5nc6cc(-c7ccc(N(c8ccccc8)c8ccccc8)s7)c(-c7ccc(N(c8ccccc8)c8ccccc8)s7)cc6nc5c1c2c34,[c-]1ccc2ccc3cccc4c5nc6cc(-c7ccc(N(c8ccccc8)c8ccccc8)s7)c(-c7ccc(N(c8ccccc8)c8ccccc8)s7)cc6nc5c1c2c34,CC(=O)/C=C(/C)[O-],,DPTAIr,0,798,0.11,0.32,CH2Cl2,10.1016/j.cej.2022.138956,,1
